(9000011,3.0)
(9000021,2.6666666666666665)
(9000092,4.0)
(9000098,2.5)
(9000070,2.6666666666666665)
(9000039,2.0)
(9000042,2.0)
(9000026,2.3333333333333335)
(9000018,2.0)
(9000074,1.3333333333333333)
(9000027,2.0)
(9000023,3.0)
(9000002,3.0)
(9000013,2.0)
(9000034,2.0)
(9000056,3.6666666666666665)
(9000058,1.5)
(9000072,2.3333333333333335)
(9000093,3.0)
(9000075,1.6666666666666667)
(9000022,2.0)
(9000019,1.5)
(9000096,2.6666666666666665)
(9000100,2.6666666666666665)
(9000030,2.3333333333333335)
(9000046,2.25)
(9000054,2.0)
(9000028,3.3333333333333335)
(9000082,3.0)
(9000065,3.0)
(9000094,3.5)
(9000090,2.5)
(9000084,4.75)
(9000012,1.3333333333333333)
(9000050,3.0)
(9000073,3.6666666666666665)
(9000089,2.75)
(9000080,3.75)
(9000029,1.6666666666666667)
(9000087,2.0)
(9000062,2.6666666666666665)
(9000053,3.6666666666666665)
(9000068,2.0)
(9000009,2.0)
(9000033,3.0)
(9000091,3.5)
(9000031,2.3333333333333335)
(9000079,2.0)
(9000004,3.3333333333333335)
(9000088,4.0)
(9000037,3.3333333333333335)
(9000059,2.75)
(9000071,2.6666666666666665)
(9000016,4.0)
(9000044,3.0)
(9000055,2.25)
(9000040,3.3333333333333335)
(9000032,3.3333333333333335)
(9000057,1.6666666666666667)
(9000083,3.0)
(9000036,3.0)
(9000061,2.6666666666666665)
(9000020,2.6666666666666665)
(9000060,2.0)
(9000043,2.0)
(9000081,2.25)
(9000038,3.3333333333333335)
(9000052,2.3333333333333335)
(9000095,3.0)
(9000017,3.0)
(9000045,2.0)
(9000024,3.3333333333333335)
(9000001,2.6666666666666665)
(9000047,3.5)
(9000014,1.0)
(9000076,4.333333333333333)
(9000041,3.6666666666666665)
(9000064,3.6666666666666665)
(9000049,1.3333333333333333)
(9000003,3.0)
(9000007,2.0)
(9000086,3.0)
(9000097,3.6666666666666665)
(9000025,1.6666666666666667)
(9000067,2.6666666666666665)
(9000010,3.0)
(9000015,2.0)
(9000035,3.0)
(9000069,2.0)
(9000008,1.6666666666666667)
(9000066,2.6666666666666665)
(9000099,1.5)
(9000077,1.3333333333333333)
(9000006,2.0)
(9000085,1.25)
(9000063,3.0)
(9000051,2.75)
(9000048,3.3333333333333335)
(9000078,2.25)
(9000005,2.6666666666666665)
